Institution;Nom;Naam;Catégorie;Categorie;Langue;Taal;Type de tarification;Soort tarifering;Type d'accueil;Soort opvang;Statut;Status;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Weblink;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_modified
ONE;CraˆšA®che de l'U.L.B;CraˆšA®che de l'U.L.B;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;avenue antoine depage 15;antoine depagelaan 15;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/2271;https://my.one.be/milieu-accueil/2271;googlemaps0%2C4.383371449732652;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.81113502875473%2C4.383371449732652;50.8111350288, 4.3833714497;"{""coordinates"": [4.3833714497, 50.8111350288], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
Kind&Gezin;'t Wanneke;'t Wanneke;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Avenue Wannecouter 109;Wannekouterlaan 109;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.362837221244192;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89885741251069%2C4.362837221244192;50.8988574125, 4.3628372212;"{""coordinates"": [4.3628372212, 50.8988574125], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;De Lentebloempjes;De Lentebloempjes;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue de Verdun 521;Verdunstraat 521;1130;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.419976177763717;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.895028630550954%2C4.419976177763717;50.8950286306, 4.4199761778;"{""coordinates"": [4.4199761778, 50.8950286306], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;De Zinnekes;De Zinnekes;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue de Molenbeek 173;Molenbeeksestraat 173;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.350721895050265;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87175809962705%2C4.350721895050265;50.8717580996, 4.3507218951;"{""coordinates"": [4.3507218951, 50.8717580996], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Kasteel Beiaard;Kasteel Beiaard;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Kruipweg 23;Kruipweg 23;1120;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.379944118465316;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89437725003539%2C4.379944118465316;50.89437725, 4.3799441185;"{""coordinates"": [4.3799441185, 50.89437725], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Klavertje Vier;Klavertje Vier;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Avenue de l'Héliport 52;Helihavenlaan 52;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.35562291016428;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86458306549226%2C4.35562291016428;50.8645830655, 4.3556229102;"{""coordinates"": [4.3556229102, 50.8645830655], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Baby Garden;Baby Garden;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Square Prince Léopold 3;Prins Leopoldsquare 3;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.342802036014802;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.883509989160686%2C4.342802036014802;50.8835099892, 4.342802036;"{""coordinates"": [4.342802036, 50.8835099892], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;;;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil familial;Gezinsopvang;subventionné;Gesubsidieerd;Rue de Molenbeek 101;Molenbeeksestraat 101;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.3552312904827115;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87442953514779%2C4.3552312904827115;50.8744295351, 4.3552312905;"{""coordinates"": [4.3552312905, 50.8744295351], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
ONE;Zarafa;Zarafa;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;avenue de meysse 97a;meiseselaan 97a;1020;Bruxelles;Brussel;www.zarafa-asbl.be;www.zarafa-asbl.be;googlemaps0%2C4.350369291027675;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.898023587582614%2C4.350369291027675;50.8980235876, 4.350369291;"{""coordinates"": [4.350369291, 50.8980235876], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Papoti Papota;Papoti Papota;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue de wand 21;de wandstraat 21;1020;Bruxelles;Brussel;www.papotipapota.be;www.papotipapota.be;googlemaps0%2C4.358139581944676;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89617274351422%2C4.358139581944676;50.8961727435, 4.3581395819;"{""coordinates"": [4.3581395819, 50.8961727435], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Papoti Papota 2;Papoti Papota 2;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue de wand 118;de wandstraat 118;1020;Bruxelles;Brussel;www.papotipapota.be;www.papotipapota.be;googlemaps0%2C4.360047321692555;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.899765802240665%2C4.360047321692555;50.8997658022, 4.3600473217;"{""coordinates"": [4.3600473217, 50.8997658022], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;La Maison de la Famille - Willy Peers;La Maison de la Famille - Willy Peers;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Halte-accueil;Occasionele opvang;non-subventionné;Niet-gesubsidieerd;rue de la presse 14;drukpersstraat 14;1000;Bruxelles;Brussel;www.maisondelafamillebruxelles.be;www.maisondelafamillebruxelles.be;googlemaps0%2C4.366945453052013;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84882991146831%2C4.366945453052013;50.8488299115, 4.3669454531;"{""coordinates"": [4.3669454531, 50.8488299115], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;La Ribambelle;La Ribambelle;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue van artevelde 85;arteveldestraat 85;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/159291;https://my.one.be/milieu-accueil/159291;googlemaps0%2C4.344674210347787;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84741299067804%2C4.344674210347787;50.8474129907, 4.3446742103;"{""coordinates"": [4.3446742103, 50.8474129907], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Jeanne Ashbe;Jeanne Ashbe;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue locquenghien 16;locquenghienstraat 16;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.344517510339816;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85377238703172%2C4.344517510339816;50.853772387, 4.3445175103;"{""coordinates"": [4.3445175103, 50.853772387], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Site J77;Site J77;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue joseph ii 77;jozef ii straat 77;1000;Bruxelles;Brussel;www.leminimonde.com;www.leminimonde.com;googlemaps0%2C4.374974921328879;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84507146869123%2C4.374974921328879;50.8450714687, 4.3749749213;"{""coordinates"": [4.3749749213, 50.8450714687], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Gabrielle Vincent;Gabrielle Vincent;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue van helmont 32;van helmontstraat 32;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/12508774;https://my.one.be/milieu-accueil/12508774;googlemaps0%2C4.346628825787908;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84388902422523%2C4.346628825787908;50.8438890242, 4.3466288258;"{""coordinates"": [4.3466288258, 50.8438890242], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Marie Louise 48;Marie Louise 48;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;square marie louise 48;maria louizasquare 48;1000;Bruxelles;Brussel;www.esedraservices.com;www.esedraservices.com;googlemaps0%2C4.37993711953341;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847490870120936%2C4.37993711953341;50.8474908701, 4.3799371195;"{""coordinates"": [4.3799371195, 50.8474908701], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Espaces Enfance 2;Espaces Enfance 2;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue notre dame des graˆša¢ces 1 A;rue notre dame des graˆša¢ces 1 A;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/2267;https://my.one.be/milieu-accueil/2267;googlemaps0%2C4.350602900000488;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8381641000023%2C4.350602900000488;50.8381641, 4.3506029;"{""coordinates"": [4.3506029, 50.8381641], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Regine Orfinger-Karlin;Regine Orfinger-Karlin;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;jardin des justes 3;tuin der rechtvaardigen 3;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.351175573724673;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87161532421858%2C4.351175573724673;50.8716153242, 4.3511755737;"{""coordinates"": [4.3511755737, 50.8716153242], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Eclusier Cogge;Eclusier Cogge;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;avenue de la reine 180;avenue de la reine 180;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.3609899000004875;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.871275800002216%2C4.3609899000004875;50.8712758, 4.3609899;"{""coordinates"": [4.3609899, 50.8712758], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
Kind&Gezin;'t Plantzoentje;'t Plantzoentje;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Square Prince Charles 30;Prins Karelsquare 30;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.352753970829778;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.881583389814985%2C4.352753970829778;50.8815833898, 4.3527539708;"{""coordinates"": [4.3527539708, 50.8815833898], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Babilou Gare Maritime;Babilou Gare Maritime;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Drève du Parc 20;Parkdreef 20;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.342318060619261;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86531776450339%2C4.342318060619261;50.8653177645, 4.3423180606;"{""coordinates"": [4.3423180606, 50.8653177645], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Elmer in de Stad;Elmer in de Stad;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue Terre-Neuve 15;Nieuwland 15;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.347538094833165;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8428872957278%2C4.347538094833165;50.8428872957, 4.3475380948;"{""coordinates"": [4.3475380948, 50.8428872957], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Frans Vekemans;Frans Vekemans;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue François Vekemans 48;Frans Vekemansstraat 48;1120;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.390080272047675;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89598075458403%2C4.390080272047675;50.8959807546, 4.390080272;"{""coordinates"": [4.390080272, 50.8959807546], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Maria Boodschap;Maria Boodschap;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue de Flandre 159;Vlaamsesteenweg 159;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.3434964832699;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85314373959546%2C4.3434964832699;50.8531437396, 4.3434964833;"{""coordinates"": [4.3434964833, 50.8531437396], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
ONE;Badaboum;Badaboum;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue de la philanthropie 2;menslievendheidsstraat 2;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/1124081;https://my.one.be/milieu-accueil/1124081;googlemaps0%2C4.34550452798217;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83517904359935%2C4.34550452798217;50.8351790436, 4.345504528;"{""coordinates"": [4.345504528, 50.8351790436], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Swinnen;Swinnen;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Halte-accueil;Occasionele opvang;non-subventionné;Niet-gesubsidieerd;rue du pont de l avenue 35;laanbrugstraat 35;1000;Bruxelles;Brussel;www.josephswinnen.be;www.josephswinnen.be;googlemaps0%2C4.361749719388684;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.869704655693624%2C4.361749719388684;50.8697046557, 4.3617497194;"{""coordinates"": [4.3617497194, 50.8697046557], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Espaces Enfance 3;Espaces Enfance 3;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue van campenhout 16;van campenhoutstraat 16;1000;Bruxelles;Brussel;http://www.espacesenfance.be/espaces-enfance-3/;http://www.espacesenfance.be/espaces-enfance-3/;googlemaps0%2C4.385692839505051;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84769699604684%2C4.385692839505051;50.847696996, 4.3856928395;"{""coordinates"": [4.3856928395, 50.847696996], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;L'AQUARELLE;L'AQUARELLE;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue du tivoli 45;tivolistraat 45;1020;Bruxelles;Brussel;https://my.one.be/milieu-accueil/5163;https://my.one.be/milieu-accueil/5163;googlemaps0%2C4.353696869155475;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.873136494880505%2C4.353696869155475;50.8731364949, 4.3536968692;"{""coordinates"": [4.3536968692, 50.8731364949], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Cesar de Paepe;Cesar de Paepe;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue des alexiens 11;cellebroersstraat 11;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.349334185585499;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.843549054820805%2C4.349334185585499;50.8435490548, 4.3493341856;"{""coordinates"": [4.3493341856, 50.8435490548], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Quatre Saisons;Les Quatre Saisons;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue notre seigneur 1;ons heerstraat 1;1000;Bruxelles;Brussel;https://creches.brussels.be/;https://creches.brussels.be/;googlemaps0%2C4.3494590716048105;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.840661572723945%2C4.3494590716048105;50.8406615727, 4.3494590716;"{""coordinates"": [4.3494590716, 50.8406615727], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Marie Popelin;Marie Popelin;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue laƒa©opold 1ier 210;rue laƒa©opold 1ier 210;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.34235330000049;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87683560000222%2C4.34235330000049;50.8768356, 4.3423533;"{""coordinates"": [4.3423533, 50.8768356], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Ernest Salu;Ernest Salu;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de molenbeek 38;molenbeeksestraat 38;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.356828583869219;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87589228155671%2C4.356828583869219;50.8758922816, 4.3568285839;"{""coordinates"": [4.3568285839, 50.8758922816], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Reine Marie Henriette;Reine Marie Henriette;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de la fleche 14;pijlstraat 14;1000;Bruxelles;Brussel;www.lafleche14.be;www.lafleche14.be;googlemaps0%2C4.353207630759395;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85849249724438%2C4.353207630759395;50.8584924972, 4.3532076308;"{""coordinates"": [4.3532076308, 50.8584924972], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;De Wand;De Wand;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue gustave demanet 16;gustave demanetstraat 16;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.358378782996536;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.897946710898474%2C4.358378782996536;50.8979467109, 4.358378783;"{""coordinates"": [4.358378783, 50.8979467109], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Piloux;Les Piloux;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de heembeek 129;heembeeksestraat 129;1120;Bruxelles;Brussel;https://my.one.be/milieu-accueil/1045024;https://my.one.be/milieu-accueil/1045024;googlemaps0%2C4.379835122770491;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89092950789378%2C4.379835122770491;50.8909295079, 4.3798351228;"{""coordinates"": [4.3798351228, 50.8909295079], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue van campenhout;rue van campenhout;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/127490;https://my.one.be/milieu-accueil/127490;googlemaps0%2C4.386560600000489;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84859000000227%2C4.386560600000489;50.84859, 4.3865606;"{""coordinates"": [4.3865606, 50.84859], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue charles demeer;rue charles demeer;1020;Bruxelles;Brussel;https://my.one.be/milieu-accueil/8947;https://my.one.be/milieu-accueil/8947;googlemaps0%2C4.34298100000049;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.872285300002204%2C4.34298100000049;50.8722853, 4.342981;"{""coordinates"": [4.342981, 50.8722853], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Gabrielle Vandervelde;Gabrielle Vandervelde;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de gravelines 55;grevelingenstraat 55;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.382335154529745;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.848977009951696%2C4.382335154529745;50.84897701, 4.3823351545;"{""coordinates"": [4.3823351545, 50.84897701], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Sources;Les Sources;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de la paroisse 34;parochiestraat 34;1130;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.420639912555468;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89257727756595%2C4.420639912555468;50.8925772776, 4.4206399126;"{""coordinates"": [4.4206399126, 50.8925772776], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
