Institution;Nom;Naam;Catégorie;Categorie;Langue;Taal;Type de tarification;Soort tarifering;Type d'accueil;Soort opvang;Statut;Status;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Weblink;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_modified
ONE;Mario Ramos;Mario Ramos;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue locquenghien 20;locquenghienstraat 20;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.344269115147316;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85379482858039%2C4.344269115147316;50.8537948286, 4.3442691151;"{""coordinates"": [4.3442691151, 50.8537948286], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;harenberg;harenberg;1130;Bruxelles;Brussel;https://my.one.be/milieu-accueil/9309;https://my.one.be/milieu-accueil/9309;googlemaps0%2C4.4138810000004876;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89181640000218%2C4.4138810000004876;50.8918164, 4.413881;"{""coordinates"": [4.413881, 50.8918164], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Bruyn;Bruyn;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue bruyn 110;bruynstraat 110;1120;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.38704516790028;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.903529485305675%2C4.38704516790028;50.9035294853, 4.3870451679;"{""coordinates"": [4.3870451679, 50.9035294853], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Gabrielle Petit;Gabrielle Petit;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;avenue impaˆša©ratrice charlotte 1;avenue impaˆša©ratrice charlotte 1;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.332119000000491;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89735000000216%2C4.332119000000491;50.89735, 4.332119;"{""coordinates"": [4.332119, 50.89735], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Saint Antoine;Saint Antoine;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue des capucins 34;kapucijnenstraat 34;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/2195;https://my.one.be/milieu-accueil/2195;googlemaps0%2C4.34714427950738;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83833008268411%2C4.34714427950738;50.8383300827, 4.3471442795;"{""coordinates"": [4.3471442795, 50.8383300827], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Creche du beguinage;Creche du beguinage;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue du beguinage 34;begijnhofstraat 34;1000;Bruxelles;Brussel;www.asbl-mmi.be;www.asbl-mmi.be;googlemaps0%2C4.348536853772159;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85329669139331%2C4.348536853772159;50.8532966914, 4.3485368538;"{""coordinates"": [4.3485368538, 50.8532966914], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Pagodes;Pagodes;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;avenue des pagodes 301;pagodenlaan 301;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.367954515651962;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89504620102676%2C4.367954515651962;50.895046201, 4.3679545157;"{""coordinates"": [4.3679545157, 50.895046201], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Magnolias;Magnolias;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;avenue des magnolias 7;magnolialaan 7;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.330647501447876;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89774797031636%2C4.330647501447876;50.8977479703, 4.3306475014;"{""coordinates"": [4.3306475014, 50.8977479703], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
Kind&Gezin;De Ketjes;De Ketjes;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue du Damier 25;Dambordstraat 25;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.358284868491495;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85305718125866%2C4.358284868491495;50.8530571813, 4.3582848685;"{""coordinates"": [4.3582848685, 50.8530571813], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Wittouck;Wittouck;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Avenue Richard Neybergh 6;Richard Neyberghlaan 6;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.345923296069139;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87703085933021%2C4.345923296069139;50.8770308593, 4.3459232961;"{""coordinates"": [4.3459232961, 50.8770308593], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
