gid;gml_id;Type (code);Type;Type;Statut (code);Statut;Status;Largeur;Commune;Gemeente;Coordonnées géographiques;Geo Shape;begin_date;end_date;last_check_or_update
1749;ac.fid--5822db6_19cbcb82e55_-2bf1;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;1.166;Bruxelles;Brussel;50.87117336494024, 4.343929700682626;"{""coordinates"": [[[4.344087558723051, 50.87134157745595], [4.343780365402885, 50.87101424371657], [4.343772019646258, 50.871004989582765]]], ""type"": ""MultiLineString""}";2009-04-01T02:00:00+02:00;;2024-10-02T02:00:00+02:00
1460;ac.fid--5822db6_19cbcb82e55_-2bd2;10;Piste cyclable bidirectionelle;Tweerichtingsfietspad;1;Existant;Bestaand;2.56;Bruxelles;Brussel;50.87766717554491, 4.42080374678871;"{""coordinates"": [[[4.420291411060958, 50.87763643164591], [4.420317849643861, 50.87763816488889], [4.420503089977554, 50.87764887011322], [4.420959465403679, 50.877677235125404], [4.421316154263486, 50.87769668041639]]], ""type"": ""MultiLineString""}";2008-01-01T01:00:00+01:00;;2024-10-23T02:00:00+02:00
724;ac.fid--5822db6_19cbcb82e55_-2bcf;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.36;Bruxelles;Brussel;50.86219901966671, 4.35233578315899;"{""coordinates"": [[[4.352273850834514, 50.86226330977893], [4.352277574881048, 50.8622572167161], [4.352284480510566, 50.86224765804425], [4.352292653048199, 50.86223795657171], [4.352302144954394, 50.86222842734503], [4.352302185185096, 50.86222838776008], [4.352312227265522, 50.862218506846425], [4.352327045435454, 50.862205443085365], [4.352342497152792, 50.86219312583488], [4.352354548795806, 50.862183020985405], [4.352362517180727, 50.862175306698134], [4.352371034843075, 50.86216674696457], [4.352379826055035, 50.86215799262478], [4.352390092329138, 50.86214842192436], [4.35239461438116, 50.86214420625464], [4.352401369929156, 50.86213790841315]]], ""type"": ""MultiLineString""}";2015-01-01T01:00:00+01:00;;2024-10-17T02:00:00+02:00
332;ac.fid--5822db6_19cbcb82e55_-2bce;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;0.839;Bruxelles;Brussel;50.83913997484881, 4.3613489499747065;"{""coordinates"": [[[4.361263542226093, 50.83920711359731], [4.361336659221847, 50.83914974992009], [4.361434261426782, 50.83907271372798]]], ""type"": ""MultiLineString""}";2012-01-01T01:00:00+01:00;;2024-09-30T02:00:00+02:00
1408;ac.fid--5822db6_19cbcb82e55_-2b96;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;0.98;Bruxelles;Brussel;50.85600062895857, 4.355206325168783;"{""coordinates"": [[[4.354783054125874, 50.85616316591943], [4.35484147814361, 50.85612914853237], [4.354920695028336, 50.85608363669704], [4.354948600727568, 50.85607019074876], [4.355014024473848, 50.856049890374265], [4.355201794554932, 50.85599703136721], [4.355418422792586, 50.85593597977363], [4.355643503825164, 50.85587134343788]]], ""type"": ""MultiLineString""}";2015-01-01T01:00:00+01:00;;2024-09-30T02:00:00+02:00
1789;ac.fid--5822db6_19cbcb82e55_-2b76;5;Bande cyclable suggérée;Fietssugestiestrook;1;Existant;Bestaand;1.13;Bruxelles;Brussel;50.84464104975564, 4.381433047318262;"{""coordinates"": [[[4.381994691710598, 50.844520689751086], [4.381891736056115, 50.84454452715177], [4.381829888432775, 50.84455790117345], [4.381760221121247, 50.84457295631507], [4.381673243839774, 50.84459020243972], [4.381598251621726, 50.84460653513197], [4.381469743714004, 50.84463356201783], [4.381352533215773, 50.84465815104033], [4.381242296582948, 50.84468125907856], [4.381149712661213, 50.844701146519114], [4.381051418675471, 50.844721554215276], [4.380972196156645, 50.84473747350927], [4.380870793353144, 50.844758616507235]]], ""type"": ""MultiLineString""}";;;2024-09-24T02:00:00+02:00
2199;ac.fid--5822db6_19cbcb82e55_-2b72;10;Piste cyclable bidirectionelle;Tweerichtingsfietspad;1;Existant;Bestaand;;Bruxelles;Brussel;50.85061668321174, 4.368362876403726;"{""coordinates"": [[[4.367943110504337, 50.85213316944221], [4.368538978314927, 50.84998865647579], [4.368775452522338, 50.84909824346039]]], ""type"": ""MultiLineString""}";2020-07-01T02:00:00+02:00;;2024-09-26T02:00:00+02:00
552;ac.fid--5822db6_19cbcb82e55_-2b67;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;1.31;Bruxelles;Brussel;50.832617033658195, 4.35873735504179;"{""coordinates"": [[[4.359230388557076, 50.83214048893289], [4.358512255872307, 50.83283411254566], [4.358351730134241, 50.832990917147136], [4.358244897866329, 50.8330941719019]]], ""type"": ""MultiLineString""}";2009-04-01T02:00:00+02:00;;2024-10-21T02:00:00+02:00
4399;ac.fid--5822db6_19cbcb82e55_-2b62;3;Couloir ou rue bus + vélo;Fietsbusstrook;1;Existant;Bestaand;;Bruxelles;Brussel;50.844837860486464, 4.346072566274899;"{""coordinates"": [[[4.345989080344633, 50.84475699227569], [4.346156052205165, 50.84491872869724]]], ""type"": ""MultiLineString""}";2021-01-01T01:00:00+01:00;;2024-10-01T02:00:00+02:00
2977;ac.fid--5822db6_19cbcb82e55_-2b43;5;Bande cyclable suggérée;Fietssugestiestrook;1;Existant;Bestaand;1.0;Bruxelles;Brussel;50.89517302039873, 4.431582596276959;"{""coordinates"": [[[4.431603923533658, 50.89519391106337], [4.431561269020261, 50.895152129734086]]], ""type"": ""MultiLineString""}";;;2024-10-21T02:00:00+02:00
2371;ac.fid--5822db6_19cbcb82e55_-2b3b;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;0.929;Bruxelles;Brussel;50.831579585457554, 4.360447199299417;"{""coordinates"": [[[4.360478116334254, 50.8316022429888], [4.360416282264579, 50.83155692792631]]], ""type"": ""MultiLineString""}";2007-01-01T01:00:00+01:00;;2024-09-25T02:00:00+02:00
761;ac.fid--5822db6_19cbcb82e55_-2b36;3;Couloir ou rue bus + vélo;Fietsbusstrook;1;Existant;Bestaand;3.44;Bruxelles;Brussel;50.858476639331165, 4.346270874707099;"{""coordinates"": [[[4.345647089818176, 50.85866103520794], [4.345827027604082, 50.85860802948243], [4.346101928425881, 50.85853024727999], [4.346431176355135, 50.85843737123418], [4.346630005542806, 50.85836431389429], [4.346890550530113, 50.85827926007636]]], ""type"": ""MultiLineString""}";2016-01-01T01:00:00+01:00;;2024-10-02T02:00:00+02:00
2179;ac.fid--5822db6_19cbcb82e55_-2b33;4;Goulotte vélos;Fietsgoot;1;Existant;Bestaand;;Bruxelles;Brussel;50.84401550150368, 4.377413698684432;"{""coordinates"": [[[4.377179342926473, 50.84405855033703], [4.37737152353354, 50.8440237696258], [4.377647896612165, 50.843971598940826]]], ""type"": ""MultiLineString""}";;;
2264;ac.fid--5822db6_19cbcb82e55_-2b24;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.25;Bruxelles;Brussel;50.840894121975246, 4.3760145770027155;"{""coordinates"": [[[4.375474258219253, 50.84101180738184], [4.375493390804597, 50.84100768615486], [4.375621005135999, 50.84098025458896], [4.375796226745709, 50.840940594555306], [4.376441310631202, 50.84080172235171], [4.376555508671395, 50.84077934136106]]], ""type"": ""MultiLineString""}";2020-06-30T02:00:00+02:00;;2024-06-01T02:00:00+02:00
