Année;Domaine;Domein;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
2021;PE introduits;MV ingediend;122;Produits d'origine végétale (dépôts de);Producten van plantaardige oorsprong (opslagplaat);0;0;0
2021;PE délivrés;MV afgeleverd;104;Moteurs;Motoren;17;1;16
2021;PE délivrés;MV afgeleverd;55;Electricité, pompes;Elektriciteit, pompen;9;0;9
2021;PE délivrés;MV afgeleverd;93;Plastic;Plastiek;2;2;0
2021;PE délivrés;MV afgeleverd;146;Tirs;Schietstanden;2;0;2
2021;PE délivrés;MV afgeleverd;51;Déchetteries;Stortplaatsen;0;0;0
2021;PE délivrés;MV afgeleverd;98;Métaux (traitement thermique);Metalen (thermische bewerking);0;0;0
2021;PE délivrés;MV afgeleverd;110;Peaux;Papier;0;0;0
2020;PE introduits;MV ingediend;101;Métaux, tours;Metaaldraaibank;6;3;3
2021;PE délivrés;MV afgeleverd;45;DEEE;AEEA;11;0;11
2020;PE introduits;MV ingediend;122;Fruits, légumes, grossistes;Groenten, fruit, groothandels;3;1;2
2021;PE délivrés;MV afgeleverd;40;Combustion, chaudières, gaz, mazout, charbon, bois, vapeur, générateurs, cogen, fours, brûleurs;Verbranding, verwarmingsinstallaties, verwarmingsketels,  gas, mazout, stookolie, steenkool, hout, stoom, generatoren, thermoblok, aerothermen, heteluchtverwarmers, WKK, cogeneratie;3;0;3
2020;PE introduits;MV ingediend;100;Métaux;Metaal;1;1;0
2021;PE délivrés;MV afgeleverd;123;Marbre, pierre bleue;Marmer, blauwe steen;3;0;3
2020;PE introduits;MV ingediend;72;Gaz;Gas;0;0;0
2021;PE délivrés;MV afgeleverd;233;Véhicules (stationnement);Voertuigen (parkeren);1;0;1
2020;PE introduits;MV ingediend;149;Vapeur (appareils à vapeur);Stoom (stoom-toestellen);0;0;0
2021;PE délivrés;MV afgeleverd;46;Traitement déchets dangereux;Gevaarlijke  afvalstoffen (behandeling);0;0;0
2020;PE délivrés;MV afgeleverd;148;Cabine haute tension, cabine électrique;Hoogspanningscabines;43;10;33
2020;PU introduits;SV ingediend;9.1.;Abattre, déplacer ou pratiquer toute intervention susceptible de mettre en péril la survie d'un ou des arbre(s) à haute tige (hors voirie) (cfr chap. II et chap. III, section 7 de l'arrêté);Vellen, verplaatsen of uitvoeren van eender welke ingreep die een bedreiging kan vormen voor het overleven van ……… (aantal) hoogstammige bo(o)m(en) (gelegen buiten de weg) / het silhouet wijzigen van……… (aantal) bo(o)m(en) ingeschreven op de inventaris van het onroerend erfgoed (cf. hfdstk. II en hfdstk. III, afdeling 7 van het besluit);36;32;4
2020;PE délivrés;MV afgeleverd;153;Ventilation;Ventilatie;21;1;20
2020;PE introduits;MV ingediend;88;Combustibles, essence;Brandstoffen, benzine;11;3;8
2020;PE délivrés;MV afgeleverd;152;Véhicules (Stationnement);Voertuigen (parkeren);10;3;7
2020;PE introduits;MV ingediend;45;DEEE;AEEA;3;0;3
2020;PE délivrés;MV afgeleverd;88;Liquides inflammables;Ontvlambare vloeistoffen;6;0;6
2020;PE introduits;MV ingediend;88;Combustibles, huiles et graisses minérales;Brandstoffen, oliën en minerale vetten;2;1;1
2020;PE délivrés;MV afgeleverd;106;Os, déchets d'origine animale (dépôts);Beenderen, afvalstoffen van dierlijke oorsprong  (opslagplaatsen);0;0;0
2020;PE introduits;MV ingediend;88;Liquides inflammables;Ontvlambare vloeistoffen;1;1;0
2019;PU introduits;SV ingediend;5.;Placer un ou des dispositif(s) de publicité (cfr chap. II et chap. III, section 4, sous-section 1 de l'arrêté);Plaatsen van (aantal) reclame-inrichtingen (cf. hfdstk. II en hfdstk. III, afdeling 4, onderafdeling 1 van het besluit);43;37;6
2020;PE introduits;MV ingediend;33;Citernes (nettoyage);Tanken (schoonmaak);0;0;0
2020;PE introduits;MV ingediend;170;Moteurs;Motoren;0;0;0
2019;PE introduits;MV ingediend;224;Garages, parkings;Garages, parkings;2;0;2
2019;PE introduits;MV ingediend;13;Automobiles, réparations, voitures, véhicules, carrosseries, garages;Automobielen, herstellingen, reparaties, voertuigen, carrosserie, garage;1;1;0
2020;PE délivrés;MV afgeleverd;22;Boues, terres excavées;Slib, uitgegraven grond;3;0;3
2020;PE délivrés;MV afgeleverd;19;Bois (dépôts);Hout (opslagplaat-sen);2;0;2
2020;PE délivrés;MV afgeleverd;22;Boues (dépôts);Slib (opslag);2;0;2
2020;PE délivrés;MV afgeleverd;76;Gélatine;Gelatine;0;0;0
2020;PE délivrés;MV afgeleverd;89;Luna-parks;Lunaparken;0;0;0
2020;PE délivrés;MV afgeleverd;151;Stationnement (véhicules);Parkeren (voertuigen);0;0;0
2019;PU délivrés;SV afgeleverd;13.;Placer des installations temporaires événementielles ou liées à un chantier (cfr chap. II et chap. III, section 11 de l'arrêté);Tijdelijke evenement- of bouwplaatsgebonden installaties plaatsen (cf. hfdstk. II en hfdstk. III, afdeling 11 van het besluit);22;0;22
2019;PE introduits;MV ingediend;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;12;9;3
2019;PE introduits;MV ingediend;79;Hôpitaux, höpital, homes, maisons de retraite;Hospitaal, hospitalen, home, rusthuis, rust- en verzorgingstehuis;1;0;1
2019;PE introduits;MV ingediend;22;Boues, terres excavées (traitement);Slib, uitgegraven grond (verwerking);0;0;0
2019;PE introduits;MV ingediend;123;Produits minéraux;Minerale producten;0;0;0
2019;PE introduits;MV ingediend;109;Papier;Papier;0;0;0
