Année;Commune;Gemeente;Total commune;Total hommes;% Hommes;Total femmes;% Femmes;"Total niveau d'étude ""faible""";"% Niveau d'étude ""faible""";"Hommes - Niveau d’études ""faible""";"% Hommes - Niveau d’études ""faible""";"Femmes - Niveau d’études ""faible""";"% Femmes - Niveau d’études ""faible""";"Total niveau d'étude ""moyen""";"% Niveau d'étude ""moyen""";"Hommes - Niveau d’études ""moyen""";"% Hommes - Niveau d’études ""moyen""";"Femmes - Niveau d’études ""moyen""";"% Femmes - Niveau d’études ""moyen""";"Total niveau d'étude ""élevé""";"% Niveau d'étude ""élevé""";"Hommes - Niveau d’études ""élevé""";"% Hommes - Niveau d’études ""élevé""";"Femmes - Niveau d’études ""élevé""";"% Femmes - Niveau d’études ""élevé""";Total étrangers sans équivalence;% Étrangers sans équivalence;Hommes étrangers sans équivalence;% Hommes étrangers sans équivalence;Femmes étrangères sans équivalence;% Femmes étrangère sans équivalence
2025;Ixelles;Elsene;6363.0;3366;52.899575671852894;2995;47.06899261354707;697;10.953952538110954;476;7.48074807480748;221;3.4732044633034733;1065;16.737388024516736;639;10.042432814710041;426;6.694955209806695;1952;30.67735344963068;891;14.002828854314004;1061;16.674524595316676;2647;41.5998742731416;1360;21.373565928021375;1287;20.226308345120223
2025;Jette;Jette;3753.0;1840;49.02744471089795;1914;50.99920063948841;707;18.83826272315481;433;11.537436717292833;274;7.3008260058619765;873;23.26139088729017;448;11.937116973088196;425;11.324273914201973;589;15.694111377564615;268;7.140953903543831;321;8.553157474020784;1585;42.23288036237677;691;18.411937116973085;894;23.82094324540368
2025;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;9106.0;4846;53.21765868658027;4262;46.804304853942455;1838;20.184493740390952;1171;12.85965297605974;667;7.32484076433121;2043;22.435756643971008;1082;11.882275422798156;961;10.553481221172852;977;10.72918954535471;429;4.71117944212607;548;6.01801010322864;4250;46.67252361080606;2164;23.76455084559631;2086;22.907972765209752
2024;Auderghem;Oudergem;1710.0;823;48.12865497076023;887;51.87134502923977;225;13.157894736842104;137;8.011695906432749;88;5.146198830409357;362;21.169590643274855;190;11.11111111111111;172;10.058479532163743;480;28.07017543859649;218;12.748538011695906;262;15.321637426900587;643;37.602339181286546;278;16.257309941520468;365;21.34502923976608
2024;Berchem-Sainte-Agathe;Sint-Agatha-Berchem;1656.0;803;48.490338164251206;853;51.50966183574879;333;20.108695652173914;198;11.956521739130435;135;8.152173913043478;453;27.355072463768117;230;13.88888888888889;223;13.466183574879226;239;14.432367149758454;106;6.40096618357488;133;8.031400966183574;631;38.10386473429952;269;16.243961352657006;362;21.85990338164251
2024;Etterbeek;Etterbeek;3376.0;1726;51.12559241706162;1650;48.87440758293839;443;13.122037914691942;271;8.027251184834123;172;5.0947867298578196;616;18.246445497630333;378;11.196682464454977;238;7.049763033175356;789;23.370853080568722;366;10.84123222748815;423;12.52962085308057;1528;45.26066350710901;711;21.06042654028436;817;24.200236966824644
2024;Saint-Gilles;Sint-Gillis;4664.0;2559;54.86706689536878;2106;45.15437392795884;649;13.915094339622641;429;9.19811320754717;220;4.716981132075472;794;17.02401372212693;486;10.420240137221269;308;6.60377358490566;1311;28.10891938250429;604;12.950257289879932;707;15.158662092624356;1911;40.97341337907376;1040;22.29845626072041;871;18.674957118353344
2023;Auderghem;Oudergem;1591.0;757;47.580138277812694;833;52.35700817096166;237;14.896291640477688;136;8.548082966687618;101;6.34820867379007;348;21.873035826524198;184;11.565053425518542;164;10.307982401005656;429;26.964173475801385;198;12.445003142677562;231;14.51917033312382;576;36.20364550597109;239;15.021998742928973;337;21.18164676304211
2023;Evere;Evere;2827.0;1318;46.62186062964273;1509;53.37813937035727;580;20.516448532012735;325;11.496285815351962;255;9.02016271666077;711;25.150336045277676;346;12.239122744959321;365;12.911213300318359;361;12.76972055182172;142;5.022992571630704;219;7.7467279801910145;1175;41.563494870887865;505;17.86345949770074;670;23.700035373187127
2023;Schaerbeek;Schaarbeek;10580.0;5522;52.192816635160675;5058;47.80718336483932;2049;19.36672967863894;1254;11.852551984877127;795;7.514177693761814;2118;20.01890359168242;1151;10.879017013232515;967;9.139886578449905;1559;14.735349716446125;685;6.474480151228732;874;8.26086956521739;4854;45.87901701323251;2432;22.986767485822305;2422;22.892249527410208
2023;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;1559.0;700;44.90057729313663;858;55.03527902501604;191;12.251443232841565;118;7.568954457985888;73;4.682488774855677;304;19.499679281590762;163;10.4554201411161;141;9.044259140474663;470;30.147530468248878;201;12.892880051314945;269;17.25465041693393;593;38.03720333547145;218;13.983322642719692;375;24.053880692751765
2022;Anderlecht;Anderlecht;9561.0;5068;53.0070076351846;4492;46.98253320782345;2120;22.173412822926473;1295;13.544608304570652;825;8.628804518355821;2069;21.639995816337205;1047;10.950737370567932;1022;10.689258445769271;945;9.883903357389395;426;4.455600878569188;519;5.428302478820207;4426;46.29222884635498;2300;24.05606108147683;2126;22.23616776487815
2022;Evere;Evere;2724.0;1267;46.51248164464023;1457;53.48751835535977;581;21.32892804698972;321;11.784140969162996;260;9.544787077826726;689;25.293685756240826;329;12.077826725403817;360;13.215859030837004;337;12.37151248164464;136;4.992657856093979;201;7.3788546255506615;1117;41.00587371512482;481;17.657856093979444;636;23.348017621145374
2022;Forest;Vorst;4615.0;2278;49.360780065005414;2337;50.639219934994586;805;17.44312026002167;487;10.552546045503792;318;6.890574214517876;936;20.281690140845072;505;10.942578548212351;431;9.339111592632719;1150;24.918743228602384;466;10.097508125677141;684;14.821235102925243;1724;37.356446370530875;820;17.768147345612135;904;19.588299024918744
2021;Evere;Evere;2801.0;1305;46.590503391645846;1496;53.409496608354154;632;22.56337022491967;338;12.067118886112103;294;10.49625133880757;737;26.312031417350944;344;12.281328097108176;393;14.030703320242772;360;12.852552659764369;146;5.212424134237772;214;7.640128525526597;1072;38.27204569796501;477;17.02963227418779;595;21.242413423777222
2021;Jette;Jette;3697.0;1759;47.57911820394915;1939;52.44793075466595;845;22.856370029753855;458;12.38842304571274;387;10.467946984041115;913;24.6956992155802;438;11.847443873410873;475;12.848255342169326;504;13.632675142007034;219;5.923721936705436;285;7.7089532053015954;1436;38.842304571274006;644;17.419529348120097;792;21.42277522315391
2021;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;2747.0;1570;57.15325809974517;1177;42.84674190025483;526;19.14816163087004;347;12.631962140516928;179;6.516199490353112;470;17.109574080815435;270;9.828904259191845;200;7.280669821623589;316;11.503458318165272;151;5.49690571532581;165;6.006552602839461;1435;52.23880597014925;802;29.195485984710594;633;23.04331998543866
2021;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;1498.0;697;46.52870493991989;801;53.4712950600801;202;13.484646194926569;116;7.74365821094793;86;5.740987983978639;321;21.428571428571427;164;10.947930574098798;157;10.480640854472629;490;32.71028037383177;214;14.285714285714285;276;18.424566088117487;485;32.37650200267023;203;13.551401869158877;282;18.82510013351135
2020;Bruxelles;Brussel;15035.0;8404;55.89624210176255;6631;44.10375789823745;3270;21.749251745926173;2056;13.674758895909545;1214;8.074492850016627;3130;20.818091120718325;1703;11.326903890921184;1427;9.491187229797141;2118;14.087130029930162;1027;6.8307283006318595;1091;7.256401729298304;6517;43.34552710342534;3618;24.063851014299967;2899;19.281676089125373
2020;Etterbeek;Etterbeek;3067.0;1548;50.47277469840235;1519;49.52722530159765;512;16.693837626344962;305;9.944571242256277;207;6.749266384088686;591;19.269644603847407;331;10.792305184219106;260;8.477339419628303;748;24.388653407238344;330;10.759700032605151;418;13.628953374633193;1216;39.64786436256929;582;18.97619823932181;634;20.671666123247473
2020;Forest;Vorst;4647.0;2366;50.91456853884226;2281;49.08543146115774;897;19.30277598450613;552;11.878631375080698;345;7.4241446094254355;936;20.142027114267268;495;10.65203357004519;441;9.489993544222079;1162;25.005379814934365;493;10.608995050570261;669;14.396384764364106;1652;35.54981708629223;826;17.774908543146115;826;17.774908543146115
2020;Jette;Jette;3717.0;1801;48.4530535377993;1917;51.57384987893463;879;23.64810330912026;470;12.644605864944847;409;11.00349744417541;917;24.670433145009415;446;11.998923863330644;471;12.671509281678773;519;13.962873284907182;222;5.9725585149313964;297;7.990314769975787;1403;37.74549367769707;663;17.836965294592414;740;19.908528383104652
2020;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;8800.0;4845;55.05681818181818;3955;44.94318181818181;2177;24.738636363636363;1321;15.011363636363637;856;9.727272727272727;1956;22.227272727272727;977;11.102272727272727;979;11.125;843;9.579545454545455;395;4.488636363636363;448;5.090909090909091;3824;43.45454545454545;2152;24.454545454545453;1672;19.0
2019;Bruxelles;Brussel;14648.0;8029;54.81294374658656;6619;45.18705625341344;3237;22.098580010922994;1988;13.57181867831786;1249;8.526761332605135;2912;19.8798470780994;1531;10.45193883123976;1381;9.42790824685964;1794;12.247405789186237;890;6.075914800655379;904;6.1714909885308575;6705;45.77416712179137;3620;24.713271436373567;3085;21.060895685417805
2018;Ixelles;Elsene;6310.0;3500;55.467511885895405;2811;44.54833597464342;1117;17.70206022187005;735;11.648177496038036;382;6.053882725832013;1216;19.270998415213946;660;10.45958795562599;556;8.811410459587956;1494;23.676703645007922;712;11.283676703645009;782;12.393026941362915;2484;39.366085578446906;1393;22.07606973058637;1091;17.290015847860538
2018;Saint-Gilles;Sint-Gillis;4908.0;2726;55.54197229013855;2181;44.43765281173594;941;19.17277913610432;621;12.652811735941318;320;6.519967400162999;817;16.646291768541158;446;9.087204563977181;371;7.559087204563977;1008;20.537897310513447;464;9.453952730236349;544;11.083944580277098;2141;43.62265688671557;1195;24.3480032599837;946;19.274653626731865
2018;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;2983.0;1695;56.82199128394234;1289;43.211532014750254;639;21.421387864565876;414;13.878645658732818;225;7.542742205833054;461;15.454240697284613;259;8.68253436138116;202;6.7717063359034535;248;8.313778075762656;115;3.8551793496480053;133;4.45859872611465;1636;54.84411666107945;907;30.405631914180354;729;24.438484746899096
2018;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;1397.0;642;45.95561918396564;756;54.1159627773801;223;15.962777380100215;117;8.375089477451683;106;7.587687902648533;302;21.617752326413743;151;10.808876163206872;151;10.808876163206872;430;30.780243378668576;178;12.741589119541876;252;18.038654259126698;443;31.710808876163206;196;14.030064423765213;247;17.680744452397995
