Classe PEB;Classe PEB principale;Émission C02 kWh/m²/an;Type;Type;Type;Catégorie de logement;Woningcategorie;Housing category;ID Lot;ID Immeuble;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Coordonnées géographiques
B+;B;11;Maison;Huis;House;Moyen;Middenklasse;Middle;07065;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
B+;B;11;Maison;Huis;House;Moyen;Middenklasse;Middle;07064;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
B+;B;12;Maison;Huis;House;Moyen;Middenklasse;Middle;07059;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
A;A;55;Maison;Huis;House;Moyen;Middenklasse;Middle;07163;0468;RUE DE VERDUN 642;642 VERDUNSTRAAT;1130;Haren;Haren;Haren;Haren;50.8980294, 4.4219185
B;B;12;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06897;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
B;B;12;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06907;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
B;B;12;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06909;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
C+;C;22;Studio;Studio;Studio;Moyen;Middenklasse;Middle;00211;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
B+;B;13;Studio;Studio;Studio;Moyen;Middenklasse;Middle;00216;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
C+;C;19;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06187;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
A-;A;6;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06843;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
A-;A;6;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06841;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
A-;A;6;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06853;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
B+;B;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06847;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
B+;B;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06825;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
A-;A;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06844;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
A-;A;6;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06836;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
B+;B;13;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06510;0431;RUE DU CRAETVELD 98;98 KRAATVELD;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8969897, 4.3853584
C-;C;29;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05945;0406;MIDDELWEG 33-39;33-39 MIDDELWEG;1130;Haren;Haren;Haren;Haren;50.8890629, 4.420781
A-;A;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06948;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06954;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06950;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
C+;C;20;Studio;Studio;Studio;Moyen;Middenklasse;Middle;07136;0460;AVENUE DU FUSAIN 67;67 PAPENHOUTLAAN;1020;Laeken;Laken;Laeken;Laken;50.8953003, 4.3653543
B;B;14;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05433;0393;RUE DE HEEMBEEK 241;241 HEEMBEEKSESTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8935603, 4.3830619
C+;C;21;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05836;0405;RUE DE BEYSEGHEM 59-77;59-77 BEIZEGEMSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959217, 4.3803786
C+;C;22;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06399;0430;RUE SAINTS-PIERRE ET PAUL 7;7 SINT-PIETER EN PAUWELSSTR.;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8979252, 4.3876146
B+;B;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06820;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
B+;B;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06829;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
B+;B;10;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06830;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
C-;C;27;Studio;Studio;Studio;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;03519;0123;RUE DU SOLARIUM 96;96 SOLARIUMSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8968611, 4.3718055555555555
C-;C;29;Studio;Studio;Studio;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;03510;0123;RUE DU SOLARIUM 96;96 SOLARIUMSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8968611, 4.3718055555555555
C-;C;29;Studio;Studio;Studio;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;00580;0019;BOULEVARD EMILE JACQMAIN 50;50 EMILE JACQMAINLAAN;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8531274, 4.3533448
C-;C;21;Studio;Studio;Studio;Contrat de quartier;Wijkcontract;Neighbourhood contract;05999;0408;RUE LOCQUENGHIEN 28;28 LOCQUENGHIENSTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8538282, 4.3439032
C+;C;21;Studio;Studio;Studio;Contrat de quartier;Wijkcontract;Neighbourhood contract;06113;0412;PLACE ROUPPE 1;1 ROUPPEPLEIN;1000;Bruxelles;Brussel;Midi Poiçon Lemonnier;Zuid Priem Lemonnier;50.843275, 4.3470375
B-;B;15;Studio;Studio;Studio;Contrat de quartier;Wijkcontract;Neighbourhood contract;06753;0442;RUE DE L'ECLUSIER COGGE 29/31;29/31 SLUISMEESTER COGGESTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8692072, 4.3611989
C-;C;32;Studio;Studio;Studio;Moyen;Middenklasse;Middle;01059;0052;RUE DES CULTES 8;8 EREDIENSTSTRAAT;1000;Bruxelles;Brussel;Notre-Dame-aux-Neiges;Onze-Lieve-Vrouw-ter-Sneeuw;50.8500285, 4.3669146
C;C;25;Studio;Studio;Studio;Moyen;Middenklasse;Middle;02878;0111;RUE DU MIDI 133;133 ZUIDSTRAAT;1000;Bruxelles;Brussel;Midi Poiçon Lemonnier;Zuid Priem Lemonnier;50.8443767, 4.3475522
C;C;23;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05239;0375;RUE SIMONS 1-13;1-13 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8605486, 4.3535876
C;C;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05251;0375;RUE SIMONS 1-13;1-13 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8605486, 4.3535876
C;C;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05257;0375;RUE SIMONS 1-13;1-13 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8605486, 4.3535876
C;C;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05269;0375;RUE SIMONS 1-13;1-13 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8605486, 4.3535876
C;C;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05209;0375;RUE SIMONS 1-13;1-13 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8605486, 4.3535876
C+;C;22;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05282;0375;RUE SIMONS 1-13;1-13 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8605486, 4.3535876
B+;B;10;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06322;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B;B;14;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06316;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06326;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
A-;A;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06343;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06334;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06318;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
A-;A;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06337;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;10;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06339;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06317;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B;B;15;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06333;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
A-;A;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06344;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06341;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B+;B;8;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06335;0425;RUE HAUTE 189-193;189-193 HOOGSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8393837, 4.3505382
B-;B;16;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06568;0432;RUE PIEREMANS 5-15;5-15 PIEREMANSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8606944, 4.361805555555555
B-;B;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06659;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B;B;18;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06630;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B-;B;23;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06635;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B-;B;25;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06647;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B;B;21;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06627;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B-;B;23;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06646;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B-;B;23;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06649;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
C+;C;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06645;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B-;B;21;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06657;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
A+;A;0;Studio;Studio;Studio;Moyen;Middenklasse;Middle;07196;0476;RUE DE LA SENNE 84;84 ZENNESTRAAT;1000;Bruxelles;Brussel;Midi Poiçon Lemonnier;Zuid Priem Lemonnier;50.8462281, 4.3398176
C;C;27;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00218;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
C+;C;21;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;04523;0327;RUE DE LA BRIQUETERIE 20/22;20/22 STEENBAKKERIJSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8738727, 4.3518029
B+;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06884;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
B;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06906;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
B+;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06883;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
B;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06905;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
B+;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06895;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
A-;A;7;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06972;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;7;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06957;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;7;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06961;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06983;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;9;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06987;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06976;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07081;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
B+;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07099;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
A-;A;7;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07083;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
A-;A;7;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07075;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07108;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
B+;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07085;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07091;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07103;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
B+;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07113;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
C;C;24;Studio;Studio;Studio;Moyen;Middenklasse;Middle;01929;0082;BOULEVARD ANSPACH 150;150 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.8502389, 4.3507885
A-;A;7;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07094;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
B;B;12;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06891;0450;HARENBERG 199;199 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930559, 4.4144967
A-;A;8;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;07110;0456;CHEMIN VERT 4;4 KORTE GROENWEG;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8963634, 4.393738
C+;C;20;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06189;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
C;C;25;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02483;0095;RUE DE L'EPARGNE 4;4 SPAARSTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8547501, 4.3530174
A-;A;6;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06842;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
C+;C;22;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02491;0095;RUE DE L'EPARGNE 4;4 SPAARSTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8547501, 4.3530174
B+;B;7;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06851;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
C-;C;26;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02994;0112;PLACE DU JEU DE BALLE 51;51 VOSSENPLEIN;1000;Bruxelles;Brussel;Marolles;Marollen;50.8365258, 4.3460328
B+;B;6;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06839;0449;RUE DE RANSBEEK 58;58 RANSBEEKSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8959414, 4.3956658
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00566;0018;BOULEVARD ADOLPHE MAX 108;108 ADOLPHE MAXLAAN;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8544587, 4.3563898
A;A;5;Studio;Studio;Studio;Moyen;Middenklasse;Middle;06952;0452;HARENBERG 231;231 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8940423, 4.4152098
C+;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00570;0018;BOULEVARD ADOLPHE MAX 108;108 ADOLPHE MAXLAAN;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8544587, 4.3563898
C+;C;20;Studio;Studio;Studio;Moyen;Middenklasse;Middle;07133;0460;AVENUE DU FUSAIN 67;67 PAPENHOUTLAAN;1020;Laeken;Laken;Laeken;Laken;50.8953003, 4.3653543
C;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01410;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
C+;C;21;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02479;0095;RUE DE L'EPARGNE 4;4 SPAARSTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8547501, 4.3530174
C+;C;22;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05441;0393;RUE DE HEEMBEEK 241;241 HEEMBEEKSESTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8935603, 4.3830619
C-;C;27;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;03182;0117;RUE VAN ARTEVELDE 126;126 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8484751, 4.3473924
C;C;25;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02478;0095;RUE DE L'EPARGNE 4;4 SPAARSTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8547501, 4.3530174
B;B;16;Studio;Studio;Studio;Moyen;Middenklasse;Middle;05565;0398;RUE DU CRAETVELD 116-144;116-144 KRAATVELDSTRAAT;1120;Neder-Over_Heembeek;Neder-Over_Heembeek;Neder-over-Heembeek;Neder-over-Heembeek;50.8996873, 4.3857006
C-;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;03179;0117;RUE VAN ARTEVELDE 126;126 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8484751, 4.3473924
