Classe PEB;Classe PEB principale;Émission C02 kWh/m²/an;Type;Type;Type;Catégorie de logement;Woningcategorie;Housing category;ID Lot;ID Immeuble;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Coordonnées géographiques
C+;C;22;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;02606;0098;RUE DE LAEKEN 137;137 LAKENSESTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8720288, 4.3251927
B-;B;18;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02782;0110;BOULEVARD DU 9E DE LIGNE 40;40 9DE LINIELAAN;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8508056, 4.3517777777777775
C;C;23;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;03619;0128;RUE DU PELICAN 6;6 PELIKAANSTRAAT;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8545783, 4.3537319
C;C;23;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;01883;0078;CHAUSSEE D'ANVERS 72;72 ANTWERPSESTEENWEG;1000;Bruxelles;Brussel;Nord;Noord;50.8595132, 4.3546816
C;C;23;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;01881;0078;CHAUSSEE D'ANVERS 72;72 ANTWERPSESTEENWEG;1000;Bruxelles;Brussel;Nord;Noord;50.8595132, 4.3546816
C;C;23;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;01878;0078;CHAUSSEE D'ANVERS 72;72 ANTWERPSESTEENWEG;1000;Bruxelles;Brussel;Nord;Noord;50.8595132, 4.3546816
C-;C;28;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;02968;0112;PLACE DU JEU DE BALLE 51;51 VOSSENPLEIN;1000;Bruxelles;Brussel;Marolles;Marollen;50.8365258, 4.3460328
C-;C;26;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;03662;0132;RUE DES MENAGES 60;60 HUISHOUDENSSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8349837, 4.3433494
C;C;26;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;03663;0132;RUE DES MENAGES 60;60 HUISHOUDENSSTRAAT;1000;Bruxelles;Brussel;Marolles;Marollen;50.8349837, 4.3433494
C;C;10;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;04778;0342;RUE MASUI 71;71 MASUISTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.866851, 4.3589614
B+;B;15;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;06668;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00092;0001;BOULEVARD ANSPACH 7/19;7/19 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.84925, 4.351916666666666
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00069;0001;BOULEVARD ANSPACH 7/19;7/19 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.84925, 4.351916666666666
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00070;0001;BOULEVARD ANSPACH 7/19;7/19 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.84925, 4.351916666666666
C-;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00062;0001;BOULEVARD ANSPACH 7/19;7/19 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.84925, 4.351916666666666
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00073;0001;BOULEVARD ANSPACH 7/19;7/19 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.84925, 4.351916666666666
C+;C;22;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00058;0001;BOULEVARD ANSPACH 7/19;7/19 ANSPACHLAAN;1000;Bruxelles;Brussel;Grétry Anspach Sainte-Catherine Béguinage;Grétry Anspach Sint-Katelijne Begijnhof;50.84925, 4.351916666666666
C-;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00552;0018;BOULEVARD ADOLPHE MAX 108;108 ADOLPHE MAXLAAN;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8544587, 4.3563898
C-;C;29;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00557;0018;BOULEVARD ADOLPHE MAX 108;108 ADOLPHE MAXLAAN;1000;Bruxelles;Brussel;De Brouckère Laeken Martyrs Canal;De Brouckère Laken Martelaren Kanaal;50.8544587, 4.3563898
C-;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01153;0058;RUE DE LA PRESSE 12;12 DRUKPERSSTRAAT;1000;Bruxelles;Brussel;Notre-Dame-aux-Neiges;Onze-Lieve-Vrouw-ter-Sneeuw;50.8644055, 4.3746728
C-;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01145;0058;RUE DE LA PRESSE 12;12 DRUKPERSSTRAAT;1000;Bruxelles;Brussel;Notre-Dame-aux-Neiges;Onze-Lieve-Vrouw-ter-Sneeuw;50.8644055, 4.3746728
C;C;24;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01156;0058;RUE DE LA PRESSE 12;12 DRUKPERSSTRAAT;1000;Bruxelles;Brussel;Notre-Dame-aux-Neiges;Onze-Lieve-Vrouw-ter-Sneeuw;50.8644055, 4.3746728
C-;C;27;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01321;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
